Date,AAPL,JPM,MSFT,SPY,TSLA,XOM
2015-01-02,24.237550735473633,46.720924377441406,39.85844802856445,170.589599609375,14.620667457580566,57.91691207885742
2015-01-05,23.55474090576172,45.27049255371094,39.49192428588867,167.50885009765625,14.005999565124512,56.33219528198242
2015-01-06,23.556964874267578,44.0966682434082,38.91228485107422,165.9310302734375,14.085332870483398,56.03272247314453
2015-01-07,23.88727378845215,44.163963317871094,39.40666961669922,167.99874877929688,14.063332557678223,56.60047912597656
2015-01-08,24.805076599121094,45.15085983276367,40.56595993041992,170.97987365722656,14.041333198547363,57.54257583618164
2015-01-09,24.831680297851562,44.365821838378906,40.224998474121094,169.60972595214844,13.77733325958252,57.461456298828125
2015-01-12,24.219816207885742,43.98450469970703,39.722068786621094,168.2810516357422,13.480667114257812,56.357154846191406
2015-01-13,24.434856414794922,43.99198913574219,39.51750183105469,167.80772399902344,13.616666793823242,56.15127182006836
2015-01-14,24.34174919128418,42.4742546081543,39.17653274536133,166.79466247558594,12.845999717712402,55.98902893066406
2015-01-15,23.681102752685547,41.113529205322266,38.76737594604492,165.26670837402344,12.791333198547363,55.502410888671875
2015-01-16,23.497106552124023,41.81633377075195,39.41520690917969,167.43414306640625,12.871333122253418,56.850040435791016
2015-01-20,24.10232162475586,41.651817321777344,39.54307556152344,167.79115295410156,12.795332908630371,56.83132553100586
2015-01-21,24.28632354736328,41.786415100097656,39.14243698120117,168.63812255859375,13.104666709899902,57.317955017089844
2015-01-22,24.918148040771484,43.057430267333984,40.173851013183594,171.14602661132812,13.441332817077637,57.941871643066406
2015-01-23,25.04673194885254,42.3770637512207,40.21646499633789,170.2076416015625,13.419333457946777,56.70652389526367
2015-01-26,25.073331832885742,42.4443473815918,40.07155990600586,170.60629272460938,13.770000457763672,57.24934768676758
2015-01-27,24.19542694091797,42.01818084716797,36.36360168457031,168.3558349609375,13.732000350952148,56.74396514892578
2015-01-28,25.563257217407227,40.93408203125,35.11056137084961,166.19680786132812,13.291333198547363,54.87224197387695
2015-01-29,26.359140396118164,41.62192916870117,35.809539794921875,167.73304748535156,13.680000305175781,54.64140701293945
2015-01-30,25.973400115966797,40.65745162963867,34.43715286254883,165.62376403808594,13.573332786560059,54.54157638549805
2015-02-02,26.299278259277344,41.47239685058594,35.18727493286133,167.67491149902344,14.062666893005371,55.88923263549805
2015-02-03,26.303714752197266,42.406959533691406,35.460044860839844,170.0996856689453,14.557332992553711,57.5550537109375
2015-02-04,26.50545310974121,42.152767181396484,35.66462707519531,169.45201110839844,14.569999694824219,57.06214141845703
2015-02-05,26.694643020629883,42.4443473815918,36.18458938598633,171.16265869140625,14.732666969299316,57.623661041259766
2015-02-06,26.469850540161133,43.2817268371582,36.15049362182617,170.6892547607422,14.490667343139648,57.516822814941406
2015-02-09,26.645675659179688,43.22938537597656,36.10786437988281,169.92529296875,14.498666763305664,57.554534912109375
2015-02-10,27.157581329345703,43.70789337158203,36.31244659423828,171.73556518554688,14.419333457946777,57.20879364013672
2015-02-11,27.79412078857422,43.64059066772461,36.12493133544922,171.83522033691406,14.186667442321777,56.95107650756836
2015-02-12,28.145774841308594,44.537776947021484,36.730125427246094,173.48776245117188,13.525333404541016,58.063682556152344
2015-02-13,28.283769607543945,44.612548828125,37.3950080871582,174.201904296875,13.584667205810547,58.69229507446289
2015-02-17,28.45069122314453,44.93402099609375,37.41218185424805,174.47589111328125,13.623332977294922,58.49111557006836
2015-02-18,28.648771286010742,44.38824462890625,37.369239807128906,174.49252319335938,13.630666732788086,57.20879364013672
2015-02-19,28.58868408203125,44.28357696533203,37.3434944152832,174.36798095703125,14.11400032043457,56.22188949584961
2015-02-20,28.822376251220703,44.709754943847656,37.65255355834961,175.41424560546875,14.473999977111816,56.52362823486328
2015-02-23,29.60135269165039,44.373294830322266,37.90149688720703,175.38934326171875,13.822667121887207,55.95161056518555
2015-02-24,29.41663360595703,45.47236251831055,37.849998474121094,175.8875274658203,13.607333183288574,56.209320068359375
2015-02-25,28.66435432434082,45.71160888671875,37.76414489746094,175.7381134033203,13.583999633789062,56.32247543334961
2015-02-26,29.02713394165039,46.04056167602539,37.82424545288086,175.530517578125,13.812666893005371,55.725311279296875
2015-02-27,28.590904235839844,45.81626892089844,37.64396667480469,174.93263244628906,13.555999755859375,55.656166076660156
2015-03-02,28.731122970581055,46.1826286315918,37.669715881347656,176.03704833984375,13.155332565307617,55.34185791015625
2015-03-03,28.791221618652344,46.33214569091797,37.15463638305664,175.31460571289062,13.303999900817871,55.077850341796875
2015-03-04,28.608713150024414,46.45176696777344,36.965763092041016,174.5755615234375,13.496000289916992,54.80126190185547
2015-03-05,28.134647369384766,46.354591369628906,37.008689880371094,174.76654052734375,13.375332832336426,54.52466583251953
2015-03-06,28.176931381225586,45.52468490600586,36.36483383178711,172.30860900878906,12.925333023071289,53.826927185058594
2015-03-09,28.29711151123047,45.98075485229492,36.785484313964844,173.0226593017578,12.725333213806152,53.531494140625
2015-03-10,27.711772918701172,44.82936096191406,36.081546783447266,170.2159423828125,12.687999725341797,52.965755462646484
2015-03-11,27.20654296875,45.03871154785156,36.03861618041992,169.8173370361328,12.916000366210938,52.81489181518555
2015-03-12,27.698406219482422,45.88356018066406,35.21449661254883,171.97637939453125,12.73799991607666,52.94061279296875
2015-03-13,27.507003784179688,45.6069221496582,35.52354049682617,170.92181396484375,12.578666687011719,52.72058868408203
2015-03-16,27.80970001220703,46.242427825927734,35.678070068359375,173.2053985595703,13.046667098999023,53.280052185058594
