date,mu_annual,sigma_annual,realized_logret,realized_simple_return,realized_loss,VaR_95,ES_95,breach_95,VaR_99,ES_99,breach_99,ticker,model
2016-01-06,-0.02018776039650913,0.2673248593153851,-0.01976331633795842,-0.01956930222460085,0.01956930222460085,0.0280054275311717,0.03470194698051017,False,0.038504333234183806,0.044040912797263465,False,AAPL,GBM
2016-01-07,-0.01699073190976308,0.26700163133217863,-0.04312146647048076,-0.04220495698227833,0.04220495698227833,0.027418746575466595,0.03399407167891784,True,0.03817899975545779,0.044202111708441655,True,AAPL,GBM
2016-01-08,-0.036848460813375394,0.26772700186776766,0.00527426981596219,0.005288203262489688,-0.005288203262489688,0.027533448367310195,0.034117342274243616,False,0.03838915908186618,0.044183288011760614,False,AAPL,GBM
2016-01-11,-0.0938942418201873,0.27077710981181075,0.016062395603349194,0.016192089346544147,-0.016192089346544147,0.028242497236858583,0.035179005955220374,False,0.03965610170422064,0.04465482533388693,False,AAPL,GBM
2016-01-12,-0.12632246615374554,0.26812791626670224,0.014409098805334255,0.014513410278796934,-0.014513410278796934,0.028172192783056726,0.03467688046509248,False,0.038702282104354675,0.043965117114498166,False,AAPL,GBM
2016-01-13,-0.11133200606516386,0.2686347850277207,-0.026046619255317024,-0.025710332108785927,0.025710332108785927,0.02850278650749375,0.03574570835424709,False,0.040221770062921554,0.045360018218327046,False,AAPL,GBM
2016-01-14,-0.07197378759730122,0.26791211606207305,0.021634946490785793,0.021870678895538065,-0.021870678895538065,0.02804691396473774,0.03472421525168265,False,0.038912973788037,0.04426070994916248,False,AAPL,GBM
2016-01-15,-0.10685991169477968,0.2689883403016162,-0.02430856312816825,-0.024015489542790536,0.024015489542790536,0.028338671841774837,0.03489407562903683,False,0.03902570688790705,0.0436417315771795,False,AAPL,GBM
2016-01-19,-0.08140726057123965,0.26986871112829247,-0.00485027147555064,-0.004838527903033962,0.004838527903033962,0.02843202151565319,0.035430312418738966,False,0.03988360509525019,0.045079653548985264,False,AAPL,GBM
2016-01-20,-0.07820025171724534,0.2695631612930713,0.0013435459524524876,0.0013444489146607896,-0.0013444489146607896,0.02770076851333593,0.03487415674373979,False,0.03953430179889774,0.04522253967191971,False,AAPL,GBM
2016-01-21,-0.07525043344144439,0.26949700625824496,-0.005074907633597445,-0.005062052046019727,0.005062052046019727,0.028343095402552816,0.0344470864258542,False,0.038104727532664404,0.04322819675066574,False,AAPL,GBM
2016-01-22,-0.09933776819527643,0.2682617899434985,0.05180202470171745,0.0531672207782945,-0.0531672207782945,0.02793764967968694,0.03462690082501912,False,0.03878353965201348,0.044709246856064803,False,AAPL,GBM
2016-01-25,-0.11201788191920559,0.2681818381240295,-0.01971636307277694,-0.019523266721306,0.019523266721306,0.028644538634639737,0.03540613468921073,False,0.03977273928617193,0.045158182646533845,False,AAPL,GBM
2016-01-26,-0.08589885726959745,0.27198159834788943,0.005516339952331439,0.005531582971235016,-0.005531582971235016,0.028535009448310396,0.035398514174752635,False,0.03981307996817835,0.0448599424537287,False,AAPL,GBM
2016-01-27,-0.11076220326205594,0.272613638498964,-0.06796507231417935,-0.0657068942966117,0.0657068942966117,0.02816637216570802,0.035530539014235446,True,0.04035598793017692,0.04556141646612307,True,AAPL,GBM
2016-01-28,-0.10630730994500714,0.2726746571555777,0.007146304357296512,0.007171900125669595,-0.007171900125669595,0.028498213390916488,0.03537200325952223,False,0.03974458564759371,0.045423399610727964,False,AAPL,GBM
2016-01-29,-0.13863122364959585,0.27871531474485856,0.03395844405328139,0.034541614478622806,-0.034541614478622806,0.02946531350713255,0.03675392485094873,False,0.041183176399167826,0.047018650020459594,False,AAPL,GBM
2016-02-01,-0.18647732893132893,0.2731946437958285,-0.009392849309886443,-0.009348874292081755,0.009348874292081755,0.028634602782511124,0.035562158930413985,False,0.03973732876324483,0.046408718841259446,False,AAPL,GBM
2016-02-02,-0.18317792825704265,0.2735949942988355,-0.020429028149680416,-0.02022176931906272,0.02022176931906272,0.028717878975207223,0.03595460559936478,False,0.04071022699758455,0.04576439979379225,False,AAPL,GBM
2016-02-03,-0.1778286204896005,0.27337208110718914,0.01959958021856789,0.019792913005751922,-0.019792913005751922,0.028600131892780285,0.0355318356129219,False,0.039148830472627745,0.04520690199958779,False,AAPL,GBM
2016-02-04,-0.2107262029705976,0.27375955155735215,0.008002417095521483,0.008034522017057455,-0.008034522017057455,0.02864685143439643,0.035541302475319995,False,0.04030810850027073,0.045219223154717686,False,AAPL,GBM
